fin_const,female_ownership,established_year,manager_experience,employees,sector
Moderate obstacle,0,2018,10,15,Other services
Moderate obstacle,100,2014,1,17,Other services
No obstacle,0,2019,20,8,Retail services
Moderate obstacle,0,1997,30,7,Other services
Minor obstacle,50,2000,50,19,Retail services
Minor obstacle,0,2002,4,7,Other services
Minor obstacle,20,1990,8,16,Other services
Moderate obstacle,0,1999,33,6,Other services
Minor obstacle,25,2003,21,18,Other services
No obstacle,13,2004,15,17,Other services
Major obstacle,0,2017,15,10,Other services
No obstacle,10,2021,3,11,Other services
No obstacle,0,1982,42,5,Other services
Major obstacle,0,2020,4,5,Other services
Major obstacle,0,2017,1,6,Other services
No obstacle,0,2007,15,13,Retail services
Minor obstacle,100,2014,10,5,Retail services
No obstacle,100,2014,10,7,Retail services
No obstacle,0,2015,15,8,Retail services
Major obstacle,100,2016,8,6,Other services
No obstacle,100,2016,4,6,Retail services
No obstacle,30,2019,25,26,Retail services
No obstacle,100,2000,24,5,Other services
